Date,Clicks,Impressions,CTR,Position
2025-01-31,10,230,4.35%,30.4
2025-02-01,1,193,0.52%,36.8
2025-02-02,6,301,1.99%,31.1
2025-02-03,2,401,0.5%,26.2
2025-02-04,2,249,0.8%,30.2
2025-02-05,8,272,2.94%,28.4
2025-02-06,5,264,1.89%,25.7
2025-02-07,2,237,0.84%,33.5
2025-02-08,8,225,3.56%,34.2
2025-02-09,5,199,2.51%,32.6
2025-02-10,4,282,1.42%,32.6
2025-02-11,5,247,2.02%,24.7
2025-02-12,3,243,1.23%,29
2025-02-13,5,385,1.3%,22.7
2025-02-14,7,238,2.94%,28.4
2025-02-15,3,246,1.22%,32.3
2025-02-16,4,261,1.53%,25.4
2025-02-17,5,331,1.51%,30.5
2025-02-18,3,276,1.09%,27.8
2025-02-19,8,271,2.95%,27
2025-02-20,6,270,2.22%,29.3
2025-02-21,4,449,0.89%,24.2
2025-02-22,6,236,2.54%,30.2
2025-02-23,8,254,3.15%,30.4
2025-02-24,8,496,1.61%,33.6
2025-02-25,6,270,2.22%,24.9
2025-02-26,9,258,3.49%,29.6
2025-02-27,7,310,2.26%,30.5
2025-02-28,3,426,0.7%,23.7
2025-03-01,6,239,2.51%,31.4
2025-03-02,7,367,1.91%,30.4
2025-03-03,9,433,2.08%,24.8
2025-03-04,3,384,0.78%,24.2
2025-03-05,6,276,2.17%,24.4
2025-03-06,4,238,1.68%,25.2
2025-03-07,7,202,3.47%,27
2025-03-08,4,249,1.61%,26.2
2025-03-09,12,273,4.4%,25.3
2025-03-10,7,500,1.4%,23.4
2025-03-11,9,333,2.7%,22.9
2025-03-12,10,269,3.72%,23.9
2025-03-13,10,262,3.82%,24.4
2025-03-14,14,305,4.59%,22.4
2025-03-15,5,223,2.24%,22.7
2025-03-16,18,204,8.82%,22.5
2025-03-17,19,367,5.18%,21.1
2025-03-18,15,300,5%,20
2025-03-19,14,276,5.07%,19.9
2025-03-20,21,360,5.83%,26.5
2025-03-21,10,263,3.8%,23.6
2025-03-22,8,419,1.91%,23
2025-03-23,4,281,1.42%,24.6
2025-03-24,9,341,2.64%,25
2025-03-25,11,302,3.64%,18.8
2025-03-26,23,374,6.15%,18.6
2025-03-27,15,347,4.32%,18.1
2025-03-28,24,376,6.38%,21
2025-03-29,16,455,3.52%,21.4
2025-03-30,10,303,3.3%,21.7
2025-03-31,25,516,4.84%,27.1
2025-04-01,27,549,4.92%,24.1
2025-04-02,18,576,3.12%,22.8
2025-04-03,13,318,4.09%,19.1
2025-04-04,22,338,6.51%,22.1
2025-04-05,12,248,4.84%,18.7
2025-04-06,10,278,3.6%,22
2025-04-07,13,440,2.95%,23.4
2025-04-08,16,497,3.22%,21.5
2025-04-09,12,395,3.04%,19.1
2025-04-10,9,350,2.57%,22.4
2025-04-11,10,319,3.13%,22.8
2025-04-12,15,242,6.2%,24.7
2025-04-13,11,319,3.45%,23.9
2025-04-14,8,338,2.37%,22.9
2025-04-15,5,594,0.84%,20.1
2025-04-16,17,482,3.53%,21
2025-04-17,4,267,1.5%,20.7
2025-04-18,8,276,2.9%,24.6
2025-04-19,4,311,1.29%,25.7
2025-04-20,8,325,2.46%,25.1
2025-04-21,9,736,1.22%,23.1
2025-04-22,24,404,5.94%,22.1
2025-04-23,13,323,4.02%,23.6
2025-04-24,7,472,1.48%,25.6
2025-04-25,13,435,2.99%,23.6
2025-04-26,3,315,0.95%,24.1
2025-04-27,7,413,1.69%,25
2025-04-28,7,480,1.46%,26.9
2025-04-29,15,434,3.46%,17.2
2025-04-30,9,546,1.65%,20.5
2025-05-01,5,487,1.03%,28.4
2025-05-02,10,340,2.94%,22.4
2025-05-03,9,357,2.52%,22.3
2025-05-04,3,399,0.75%,22.5
2025-05-05,4,411,0.97%,23.1
2025-05-06,7,438,1.6%,22.5
2025-05-07,8,563,1.42%,23.3
2025-05-08,11,383,2.87%,19.1
2025-05-09,17,406,4.19%,20.4
2025-05-10,3,357,0.84%,23.1
2025-05-11,6,370,1.62%,21
2025-05-12,14,432,3.24%,20.1
